"isco","physical","strength","dexterity","navigation","intellectual","inforproc","uncodified","codified","literacy","business","technical","humanities","numeracy","accounting","analytic","probsolving","evaluation","infogath","conceptualisation","resolution","creativity","planning","social","serving","teaching","selling","managing","caring","autonomy","latitude","control","team","routine","repetitiv","standard","certainty","machines","ICT","ICTbasic","ICTadvanced"
"11",0.096761681,0.04737974,0.14089282,0.10201249,0.73670781,0.64082444,0.049229648,0.64082444,0.73121697,0.95082992,0.291991,0.95082992,0.55043191,0.73677838,0.36408547,0.83259118,0.81047672,0.82506609,0.79588735,0.85470569,0.70941138,1,0.63805902,0.65687424,0.48719883,0.72355676,0.77394706,0.54871833,0.85061538,0.81085926,0.89037156,0.41666666,0.80714768,0.42144299,1,1,0.37934145,0.16810554,0.438595,0.16622098
"11",1,0.44655013,1,0.58796632,0.58033848,0.54138529,0.33636448,NA,0.63333333,0.66666669,0.47535911,NA,0.54166663,1,0.57681179,0.60511589,0.58333331,0.18371697,0.5,0.64591742,0.32414523,0.69084138,0.14583333,0.3201769,0.045740683,0.9161886,0,0.2047713,0.875,0.625,0.6414181,0.25,0.59044456,0.75384581,0.5,0.33000001,0.10895583,0.42500001,0.94703299,0
"11",0.15424874,0.0090991436,0.19652615,0.06871938,0.65610343,0.55225962,0.042982433,NA,0.62908065,0.87236249,0.36476356,NA,0.53219724,0.59297192,0.39737561,0.67831403,0.74348396,1,0.79276913,0.68115795,0.41481104,0.58697855,0.31583798,0.49379039,0.59389168,0.14500223,0.467329,0.51973259,0.69252926,0.6875,0.65312845,0.46121439,0.4434889,0.25798786,1,0.66000003,0.25234196,0.81733227,0.87446421,0.20759279
"11",0.34275547,0.069031492,0,0.1391824,0.6038295,0.60434878,0.077115975,NA,0.69507307,0.64780593,0.4147796,NA,0.56872129,0.62359303,0.40808067,0.70923001,0.74687779,0.87173355,0.74250233,0.65662861,0.77338898,0.6517989,0.5315516,0.53793621,0.38393912,0.58898193,0.39769775,0.34541062,0.64134848,0.52789074,0.94010645,0.4001058,0.2365814,0.25097489,0.24849936,0.33000001,0.023202606,0.6672619,0.56655282,0
"11",0.23190978,0.064782783,0.25795943,0.23746094,0.61221552,0.63629597,0.23082539,NA,0.64358062,0.66328478,0.60000002,NA,0.49911088,0.59179145,0.38997439,0.5,0.65934896,0.7028352,0.41666666,0.69402534,0.63426518,0.6517989,0.5625,0.8890574,0.45149094,0.5076893,0.26142308,0.34991321,0.86205232,0.67883348,0.90872777,0.457479,0.48700497,0.21841368,0.17223775,0.85285777,0.1268308,0.77822489,0.95160264,0.6655919
"11",0.35150591,0.18831629,0.39617044,0.23746094,0.56203282,0.65393555,0.23082539,NA,0.76847458,0.79858041,0.62326074,NA,0.53727764,0.77728873,0.32441789,0.54774523,0.55101824,0.434432,0.71270859,0.69402534,0.55985391,0.45090073,0.26270074,0.30475092,0.38018915,0.34335271,0,0.20996171,0.62235487,0.62610936,0.6414181,0.60919851,0.43434998,0.23289473,1,0.66000003,0.59351051,0.68604666,1,0.25011563
"11",0.03590852,0.0057130721,7.415943e-18,0.10201249,0.86087894,0.77563846,0.049229648,0.77563846,0.7552622,1,0.26578665,1,0.79601479,0.8812272,0.71080232,0.94611937,0.91253304,0.82506609,1,0.97970569,0.95941138,1,0.79584593,0.65687424,0.77363718,1,1,0.54871833,0.87276375,0.85515594,0.89037156,0.5,0.44839767,0.015192991,1,0.33000001,0.0043414496,0.25,0.75,0.33244196
"11",0.03590852,0.0057130721,7.415943e-18,0.10201249,0.81400394,0.77563846,0.049229648,0.77563846,0.7552622,1,0.26578665,1,0.79601479,0.8812272,0.71080232,0.85236937,0.78753304,0.82506609,0.75,0.91720569,0.83441138,1,0.79584593,0.65687424,0.77363718,1,1,0.54871833,0.80463874,0.71890593,0.89037156,0.85000002,0.33839765,0.015192991,0,1,0.0043414496,0.25,0.59270382,0.33244196
"11",0.36416075,0.48586017,0.73161185,0.96818811,0.45416665,0.43055558,1,NA,0.41768751,0.13667461,0.25028163,NA,0.22037235,0.23118901,0.16666667,0.38969624,0.3538523,0.18371697,0.4720149,0.50062186,0.34374642,0,0.28937566,0.28648621,0.28168294,0.50635719,0,0.35055628,0.21606554,0.49932909,1.8766311e-16,0.43026027,0.50354362,0.23193043,0.48966047,0.66000003,0.076047413,0.35624999,0.5,0
"11",0.63161135,0.43193471,0.63161135,0.23746094,0.59426367,0.6271292,0.23082539,0.6271292,0.74843287,0.93713272,0.37103319,0.93713272,0.50582546,0.68419433,0.32745659,0.56139809,0.56139809,0.40383142,0.56139809,0.60619903,0.7251882,0.78988349,0.40428281,0.8890574,0.30699056,0.52518958,0.38066828,0.34991321,0.82674766,0.82674766,0.90872777,0.875,0.32708573,0.22843286,0.38963601,0.48690939,0.14633588,0.61994666,0.82564574,0.061398111
