"YEAR","isco","totalemp","sunratio","satratio","nightratio","evenratio","shiftratio","extraratio","supratio","ftratio","onratio","femratio","COUNTRY","iscoprop"
2006,11,403,0.2851,0.444,0.3204,0.538,0.1599,0.3473,0.7589,0.9082,0.1555,0.1092,"AT",0.429445237740031
2006,12,3199,0.2113,0.4463,0.1547,0.3974,0.074,0.4665,0.9049,0.9425,0.2568,0.2001,"AT",3.40892137848724
2006,13,3502,0.3934,0.7458,0.2818,0.5682,0.0641,0.358,0.9178,0.9103,0.4066,0.3532,"AT",3.73180452249526
2006,21,1557,0.1538,0.3055,0.1239,0.3639,0.0225,0.461,0.4328,0.9191,0.2732,0.113,"AT",1.65917179940751
2006,22,1152,0.4296,0.5728,0.4182,0.6009,0.4824,0.3871,0.4951,0.8707,0.2995,0.395,"AT",1.22759531979284
2006,23,3454,0.3652,0.5051,0.165,0.5806,0.0171,0.171,0.1544,0.7858,0.7286,0.6607,"AT",3.68065471750389
2006,24,2587,0.2815,0.4265,0.1653,0.4475,0.0531,0.3235,0.48,0.7642,0.3786,0.4144,"AT",2.7567613648473
2006,31,4541,0.1406,0.2778,0.1187,0.2527,0.1183,0.3595,0.4255,0.9139,0.1442,0.1423,"AT",4.83898467637092
2006,32,2426,0.4207,0.5168,0.2799,0.353,0.5467,0.182,0.2462,0.5977,0.0952,0.8405,"AT",2.58519639393875
2006,33,1058,0.1423,0.2177,0.0645,0.2554,0.0832,0.1451,0.3289,0.6115,0.3344,0.7769,"AT",1.12742695168475
2006,34,10662,0.1262,0.3443,0.07,0.2056,0.0643,0.2601,0.3125,0.7416,0.1825,0.5517,"AT",11.3616504337077
2006,41,9131,0.056,0.1358,0.0484,0.0926,0.0552,0.1951,0.241,0.6609,0.0849,0.7138,"AT",9.73018477867053
2006,42,2765,0.1398,0.32,0.0748,0.1448,0.1628,0.2683,0.1982,0.6803,0.0378,0.6749,"AT",2.94644189169029
2006,51,7944,0.4873,0.6423,0.2616,0.3968,0.3832,0.18,0.1906,0.6686,0.0672,0.6962,"AT",8.46529272607148
2006,52,4576,0.0762,0.7117,0.0493,0.0868,0.1599,0.1647,0.1759,0.5146,0.0413,0.7633,"AT",4.87628140917713
2006,61,5175,0.7113,0.8515,0.1968,0.3817,0.0449,0.1545,0.2342,0.8184,0.5886,0.4786,"AT",5.51458835063191
2006,71,5132,0.0539,0.1899,0.0506,0.1098,0.0652,0.2142,0.2563,0.9823,0.0458,0.0244,"AT",5.46876665032715
2006,72,5318,0.0953,0.2399,0.1176,0.2152,0.2303,0.2275,0.2081,0.9752,0.0381,0.0307,"AT",5.6669721446687
2006,73,668,0.0904,0.2424,0.1097,0.2306,0.2333,0.1901,0.1917,0.8698,0.1082,0.2979,"AT",0.711834786129878
2006,74,2158,0.1044,0.3567,0.181,0.1558,0.1193,0.1907,0.2071,0.8767,0.0988,0.2535,"AT",2.29960998273694
2006,81,656,0.3675,0.4877,0.3961,0.5057,0.6003,0.1883,0.2213,0.9649,0.0481,0.0808,"AT",0.699047334882036
2006,82,2049,0.1293,0.2834,0.2344,0.3702,0.4691,0.1859,0.1449,0.8946,0.0219,0.3363,"AT",2.18345730056904
2006,83,3611,0.2335,0.396,0.3011,0.3542,0.292,0.3418,0.1092,0.951,0.026,0.0357,"AT",3.84795720466316
2006,91,6103,0.2488,0.3747,0.0852,0.1504,0.1244,0.0893,0.0585,0.455,0.0468,0.7675,"AT",6.50348458046504
2006,92,375,0.359,0.5273,0.0619,0.1477,0.0605,0.1283,0.0884,0.696,0.2847,0.3707,"AT",0.399607851495066
2006,93,3639,0.116,0.2539,0.19,0.2879,0.3759,0.1606,0.0839,0.8838,0.0194,0.2883,"AT",3.87779459090812
2007,11,444,0.2896,0.4304,0.2954,0.5,0.13,0.2898,0.818,0.8851,0.1727,0.0946,"AT",0.457911346713145
2007,12,3531,0.202,0.4487,0.1491,0.3885,0.0802,0.4841,0.8913,0.9402,0.261,0.1991,"AT",3.64163280460387
2007,13,3376,0.4099,0.7637,0.2854,0.5734,0.0664,0.3953,0.879,0.9064,0.4272,0.3398,"AT",3.48177636599905
2007,21,1812,0.1598,0.3196,0.1332,0.3504,0.0198,0.4725,0.4222,0.9117,0.2679,0.1187,"AT",1.86877333388338
2007,22,1189,0.4545,0.5857,0.4258,0.6103,0.5014,0.3964,0.5584,0.8469,0.3202,0.4651,"AT",1.22625358387822
2007,23,3426,0.3768,0.5254,0.1724,0.5824,0.0104,0.1885,0.1545,0.77,0.7509,0.6667,"AT",3.53334295909738
2007,24,2695,0.2651,0.423,0.1612,0.4619,0.0527,0.3502,0.4593,0.754,0.435,0.4289,"AT",2.77943936799984
2007,31,4746,0.1413,0.2949,0.131,0.2784,0.13,0.3826,0.4099,0.9145,0.1487,0.1332,"AT",4.89470101689322
2007,32,2454,0.4161,0.5107,0.2572,0.3362,0.5157,0.1801,0.2629,0.5901,0.0962,0.8411,"AT",2.5308883892659
2007,33,1162,0.152,0.2617,0.0669,0.2798,0.107,0.1756,0.3343,0.5921,0.389,0.7642,"AT",1.19840762360512
2007,34,10399,0.1364,0.3677,0.0762,0.2268,0.0667,0.2803,0.3075,0.7265,0.2099,0.5471,"AT",10.7248200325901
2007,41,9423,0.0613,0.1439,0.0478,0.0983,0.0572,0.2078,0.2305,0.6696,0.0949,0.6979,"AT",9.71824013531074
2007,42,2988,0.1324,0.3209,0.0708,0.1551,0.1546,0.2674,0.2176,0.6717,0.0441,0.6914,"AT",3.08161960355603
2007,51,8433,0.492,0.6478,0.2742,0.4243,0.388,0.2106,0.1877,0.6547,0.0703,0.6931,"AT",8.69722159196386
2007,52,4871,0.0706,0.7266,0.0392,0.0812,0.167,0.1761,0.1629,0.534,0.0427,0.7863,"AT",5.02361749963903
2007,61,5480,0.7018,0.8602,0.1918,0.3717,0.0385,0.1781,0.2241,0.7429,0.6208,0.4783,"AT",5.65169860357666
2007,71,5223,0.0609,0.2104,0.0527,0.1105,0.0727,0.2164,0.2484,0.977,0.0499,0.0174,"AT",5.38664631505126
2007,72,5433,0.0943,0.2587,0.122,0.2163,0.244,0.2337,0.1889,0.9785,0.0383,0.0234,"AT",5.60322600606423
2007,73,594,0.066,0.2977,0.0915,0.2468,0.2116,0.2441,0.195,0.8822,0.0854,0.271,"AT",0.612611126008127
2007,74,2183,0.1163,0.3924,0.1745,0.1657,0.1355,0.197,0.2032,0.8759,0.1041,0.2648,"AT",2.25139745467296
2007,81,594,0.3938,0.5009,0.4294,0.5324,0.6454,0.2265,0.227,0.9697,0.0523,0.0589,"AT",0.612611126008127
2007,82,1928,0.1364,0.3118,0.2309,0.3479,0.4603,0.2001,0.1549,0.9134,0.0331,0.3288,"AT",1.9884078298715
2007,83,3572,0.2444,0.3967,0.2995,0.3335,0.279,0.3415,0.1031,0.9429,0.0294,0.0423,"AT",3.68391741094449
2007,91,6248,0.2384,0.3613,0.0818,0.1324,0.1116,0.0903,0.0538,0.4358,0.0461,0.7758,"AT",6.44376147356696
2007,92,570,0.3588,0.5689,0.0679,0.1423,0.0302,0.1553,0.1107,0.5965,0.3056,0.3965,"AT",0.58785916132093
2007,93,4188,0.1235,0.2652,0.1952,0.3041,0.397,0.1775,0.0753,0.8959,0.0206,0.281,"AT",4.31921783791589
2008,11,433,0.2522,0.3598,0.2658,0.4448,0.1305,0.2825,0.7366,0.9215,0.145,0.1132,"AT",0.458978164087344
2008,12,3379,0.1938,0.4243,0.1409,0.378,0.0692,0.5002,0.8929,0.9393,0.2656,0.2356,"AT",3.58172567309731
2008,13,3187,0.3872,0.7344,0.2717,0.5369,0.0558,0.395,0.8959,0.9008,0.4058,0.3288,"AT",3.37820648717405
2008,21,1758,0.1591,0.3163,0.1343,0.3569,0.0323,0.4843,0.4888,0.8987,0.3131,0.1359,"AT",1.86347254610982
2008,22,1162,0.4507,0.5746,0.3826,0.5709,0.5256,0.3602,0.5584,0.8098,0.3317,0.463,"AT",1.23171507313971
2008,23,3395,0.3619,0.5075,0.1644,0.5691,0.0085,0.1955,0.1498,0.7605,0.7425,0.6619,"AT",3.59868560525758
2008,24,2600,0.2676,0.4378,0.1582,0.4556,0.0622,0.349,0.4667,0.7542,0.4337,0.4346,"AT",2.7559889760441
2008,31,4848,0.1259,0.2614,0.1164,0.2508,0.1227,0.3808,0.4236,0.9202,0.1395,0.1279,"AT",5.13885944456222
2008,32,2420,0.4012,0.5213,0.2708,0.3532,0.5227,0.1521,0.2609,0.5736,0.1157,0.8421,"AT",2.56518973924104
2008,33,1089,0.1396,0.2137,0.066,0.2413,0.1092,0.1439,0.3606,0.5583,0.3295,0.8062,"AT",1.15433538265847
2008,34,10012,0.1367,0.3567,0.0775,0.2254,0.0788,0.2618,0.3182,0.7375,0.207,0.5112,"AT",10.6126775492898
2008,41,9560,0.057,0.1401,0.0444,0.0974,0.0601,0.1967,0.2307,0.6717,0.0868,0.7146,"AT",10.1335594657621
2008,42,2832,0.1318,0.3048,0.0739,0.1551,0.1727,0.2582,0.2105,0.6702,0.0438,0.6949,"AT",3.00190799236803
2008,51,8329,0.4996,0.6571,0.2742,0.4221,0.4253,0.1883,0.2034,0.6488,0.0596,0.6994,"AT",8.82870468518126
2008,52,4835,0.0729,0.7439,0.0402,0.0894,0.1997,0.1629,0.1637,0.5185,0.0407,0.8108,"AT",5.125079499682
2008,61,5224,0.6735,0.8492,0.2077,0.3775,0.0431,0.1785,0.2069,0.7314,0.6099,0.4726,"AT",5.5374178503286
2008,71,5073,0.0503,0.1893,0.0463,0.1065,0.0648,0.2069,0.2582,0.9657,0.0499,0.0225,"AT",5.37735849056604
2008,72,5131,0.0878,0.2448,0.12,0.2078,0.2324,0.2192,0.2322,0.9743,0.042,0.0248,"AT",5.43883824464702
2008,73,520,0.0807,0.3116,0.0975,0.2739,0.2465,0.1816,0.1959,0.8846,0.1026,0.2808,"AT",0.551197795208819
2008,74,2187,0.0915,0.3391,0.1662,0.1393,0.1255,0.1652,0.1706,0.8596,0.0895,0.2574,"AT",2.31821072715709
2008,81,705,0.3748,0.4669,0.4196,0.5158,0.6281,0.1628,0.2663,0.9645,0.0358,0.0823,"AT",0.747297010811957
2008,82,1576,0.1285,0.2794,0.2317,0.3377,0.4328,0.1521,0.1423,0.8985,0.0401,0.3426,"AT",1.67055331778673
2008,83,3445,0.2323,0.4034,0.307,0.3404,0.2818,0.3593,0.0976,0.9428,0.0282,0.0386,"AT",3.65168539325843
2008,91,6039,0.2412,0.359,0.0788,0.1334,0.1236,0.0801,0.058,0.4305,0.0367,0.771,"AT",6.40131439474242
2008,92,465,0.3933,0.5987,0.0751,0.1535,0.0394,0.1297,0.0887,0.5656,0.3455,0.3269,"AT",0.492898028407886
2008,93,4135,0.1297,0.255,0.2153,0.3255,0.4468,0.1386,0.0933,0.8977,0.0201,0.2871,"AT",4.38308246767013
2009,11,431,0.2376,0.3977,0.2348,0.4307,0.1472,0.2923,0.7266,0.9536,0.1364,0.0974,"AT",0.479426912423942
2009,12,3207,0.2009,0.4324,0.1318,0.3736,0.0745,0.4654,0.9146,0.9464,0.2778,0.2245,"AT",3.56733667782734
2009,13,3017,0.3832,0.726,0.2641,0.5359,0.0515,0.3475,0.896,0.889,0.4172,0.3195,"AT",3.3559883869676
2009,21,1765,0.1421,0.3024,0.1149,0.3338,0.0254,0.4159,0.4399,0.8924,0.3225,0.1331,"AT",1.96331438614445
2009,22,1109,0.4273,0.5513,0.3847,0.5338,0.495,0.4195,0.6034,0.7547,0.2929,0.4509,"AT",1.23360660296555
2009,23,3388,0.3824,0.5312,0.1642,0.5825,0.0193,0.2975,0.1634,0.7544,0.7681,0.6691,"AT",3.76867373385688
2009,24,2785,0.2487,0.4099,0.1528,0.4298,0.0539,0.3271,0.4592,0.7425,0.4318,0.4445,"AT",3.0979210002336
2009,31,4622,0.1202,0.2374,0.1023,0.2254,0.111,0.3158,0.4289,0.9186,0.1429,0.1359,"AT",5.14132526501963
2009,32,2393,0.4116,0.5168,0.2637,0.3383,0.542,0.1972,0.308,0.5583,0.1157,0.8207,"AT",2.66187610540718
2009,33,1097,0.1271,0.1988,0.0716,0.2482,0.1145,0.1575,0.3956,0.5852,0.3167,0.8113,"AT",1.22025828985862
2009,34,9756,0.1277,0.3477,0.0712,0.2136,0.0763,0.2351,0.2997,0.7362,0.2088,0.5167,"AT",10.852178555935
2009,41,9370,0.0558,0.1351,0.0436,0.0901,0.0556,0.1718,0.2363,0.6521,0.09,0.7311,"AT",10.422807817662
2009,42,2588,0.1244,0.298,0.0635,0.1324,0.1745,0.2042,0.2222,0.6681,0.0498,0.6758,"AT",2.87878619339481
2009,51,8429,0.4949,0.6449,0.2678,0.3943,0.425,0.1832,0.2087,0.6379,0.0619,0.6949,"AT",9.37607759819353
2009,52,4549,0.0755,0.7497,0.0428,0.0729,0.2026,0.1589,0.1798,0.4836,0.0338,0.8233,"AT",5.06012302695247
2009,61,4638,0.6655,0.8394,0.1906,0.3544,0.0312,0.1376,0.232,0.7251,0.5514,0.4646,"AT",5.15912301582887
2009,71,4746,0.0523,0.1872,0.0424,0.0963,0.0611,0.1791,0.2715,0.9642,0.0552,0.0251,"AT",5.27925783379125
2009,72,4951,0.0636,0.1932,0.0972,0.1847,0.2252,0.164,0.2513,0.9701,0.0376,0.0182,"AT",5.50729151603466
2009,73,525,0.0875,0.29,0.0992,0.1938,0.1574,0.1534,0.2199,0.8514,0.0829,0.339,"AT",0.583988698428236
2009,74,1854,0.0873,0.3177,0.1756,0.1282,0.1077,0.171,0.194,0.8409,0.0672,0.2729,"AT",2.06231437502086
2009,81,667,0.3864,0.4492,0.4301,0.4765,0.6329,0.1456,0.2627,0.961,0.0396,0.084,"AT",0.741943736860254
2009,82,1306,0.1301,0.2931,0.1884,0.2976,0.401,0.1517,0.1564,0.8767,0.0458,0.3622,"AT",1.45274140980434
2009,83,2903,0.2372,0.395,0.3004,0.3117,0.2914,0.3579,0.0886,0.9263,0.0241,0.042,"AT",3.22917941245175
2009,91,5765,0.2702,0.3941,0.093,0.1412,0.1385,0.0862,0.0628,0.4343,0.0431,0.7636,"AT",6.41275208845482
2009,92,377,0.3333,0.6117,0.0707,0.135,0.037,0.1014,0.1049,0.5332,0.3182,0.3156,"AT",0.419359503442752
2009,93,3661,0.1212,0.2532,0.2037,0.2917,0.4326,0.1361,0.1154,0.8782,0.0176,0.2912,"AT",4.07234785703957
2010,11,424,0.1665,0.2809,0.2333,0.3923,0.0708,0.2772,0.7429,0.9292,0.0932,0.0943,"AT",0.480262785297616
2010,12,3165,0.1961,0.4331,0.1328,0.3679,0.0725,0.455,0.9139,0.9551,0.2937,0.2338,"AT",3.58498046100697
2010,13,2826,0.3732,0.7225,0.2515,0.5009,0.0494,0.3372,0.9199,0.8854,0.4202,0.3238,"AT",3.20099677181854
2010,21,1761,0.1277,0.2527,0.1009,0.2747,0.0191,0.3697,0.3865,0.9046,0.2858,0.1232,"AT",1.99467633233279
2010,22,1213,0.4035,0.579,0.3526,0.5446,0.4795,0.4382,0.5974,0.7725,0.3292,0.4856,"AT",1.37395933624058
2010,23,3310,0.3939,0.5222,0.1521,0.5777,0.0142,0.3311,0.1514,0.7559,0.7628,0.6644,"AT",3.74922127201676
2010,24,2772,0.2896,0.417,0.1481,0.418,0.0704,0.3095,0.3974,0.7345,0.4119,0.447,"AT",3.139831228408
2010,31,4640,0.1331,0.251,0.103,0.2291,0.1087,0.3341,0.4075,0.9131,0.1591,0.1254,"AT",5.25570595231353
2010,32,2512,0.3935,0.5157,0.2664,0.3445,0.5538,0.1757,0.274,0.5569,0.1085,0.7994,"AT",2.8453304638387
2010,33,1122,0.1199,0.1994,0.0693,0.2231,0.1082,0.1756,0.3264,0.5472,0.3139,0.8021,"AT",1.27088406864133
2010,34,9495,0.123,0.3425,0.0685,0.2061,0.0812,0.2369,0.2884,0.722,0.2222,0.5249,"AT",10.7549413830209
2010,41,9093,0.0535,0.1314,0.0418,0.0823,0.0476,0.1804,0.2212,0.6525,0.0957,0.7192,"AT",10.2995978931868
2010,42,2476,0.139,0.2902,0.0787,0.1468,0.1795,0.2375,0.2087,0.6575,0.0444,0.6773,"AT",2.80455343489834
2010,51,8474,0.4725,0.6286,0.2461,0.3921,0.4108,0.1725,0.1949,0.625,0.0685,0.7025,"AT",9.59845953446225
2010,52,4484,0.0741,0.7445,0.0402,0.0757,0.2206,0.1518,0.1734,0.4761,0.0404,0.8225,"AT",5.07900549357195
2010,61,4458,0.6568,0.8421,0.1716,0.3586,0.0427,0.1512,0.1721,0.7194,0.6023,0.4596,"AT",5.04955541711502
2010,71,4540,0.0593,0.1969,0.0421,0.0982,0.0687,0.1651,0.2541,0.9623,0.0542,0.0289,"AT",5.14243642747919
2010,72,4798,0.0692,0.2148,0.0997,0.1993,0.2387,0.1778,0.2271,0.9721,0.0461,0.0221,"AT",5.43467180155179
2010,73,624,0.0963,0.271,0.0977,0.2052,0.1495,0.1689,0.1879,0.8221,0.1379,0.3542,"AT",0.706801834966302
2010,74,1792,0.0839,0.3415,0.1804,0.1416,0.1318,0.1835,0.2106,0.8633,0.0799,0.2366,"AT",2.02978988503143
2010,81,517,0.3457,0.4963,0.3364,0.4876,0.6088,0.1762,0.2355,0.9516,0.0472,0.0832,"AT",0.585603443393555
2010,82,1336,0.1297,0.2792,0.1927,0.2793,0.3883,0.2027,0.1611,0.854,0.0356,0.3436,"AT",1.51328085178683
2010,83,2838,0.2273,0.3828,0.2838,0.3041,0.2797,0.3242,0.1084,0.9457,0.0302,0.0384,"AT",3.21458911479866
2010,91,5638,0.2617,0.3846,0.0809,0.1357,0.13,0.0754,0.054,0.4177,0.046,0.7666,"AT",6.38613581016028
2010,92,357,0.3372,0.5651,0.0676,0.1212,0.0532,0.1265,0.0904,0.5854,0.3353,0.3361,"AT",0.404372203658606
2010,93,3620,0.1186,0.2604,0.2155,0.321,0.4217,0.1508,0.0843,0.8945,0.0185,0.2914,"AT",4.10035679900323
2011,11,543,0.211,0.4682,0.1361,0.4936,0.0367,0.4072,0.9369,0.9374,0.329,0.1547,"AT",0.617529653933198
2011,12,1315,0.1329,0.3621,0.0865,0.3256,0.0181,0.4516,0.8462,0.9141,0.3185,0.2715,"AT",1.4954907825454
2011,13,1560,0.1597,0.3343,0.112,0.3295,0.0469,0.3939,0.882,0.9147,0.3065,0.2385,"AT",1.77411834279151
2011,14,1263,0.5299,0.7749,0.3571,0.6014,0.1212,0.3139,0.8843,0.9232,0.3826,0.3135,"AT",1.43635350445235
2011,21,1765,0.1444,0.3029,0.1177,0.3255,0.0504,0.3434,0.477,0.8708,0.2846,0.2402,"AT",2.00725568911988
2011,22,1517,0.3191,0.4779,0.2598,0.4418,0.3578,0.3433,0.4145,0.7297,0.3156,0.5794,"AT",1.72521636282995
2011,23,4182,0.3137,0.4408,0.1263,0.488,0.0276,0.3173,0.1899,0.7143,0.6732,0.7131,"AT",4.75600186509877
2011,24,1629,0.1581,0.3263,0.1104,0.3492,0.0313,0.3611,0.4146,0.8109,0.3654,0.4395,"AT",1.85258896179959
2011,25,1034,0.1304,0.2539,0.1232,0.2928,0.0191,0.358,0.3003,0.8762,0.3533,0.1015,"AT",1.17592202977335
2011,26,1859,0.2906,0.428,0.1522,0.4061,0.0859,0.2615,0.419,0.6907,0.403,0.5013,"AT",2.11415769182655
2011,31,4298,0.122,0.2593,0.1199,0.2316,0.1514,0.3088,0.4646,0.9397,0.1237,0.0835,"AT",4.88792348546019
2011,32,3206,0.402,0.5361,0.2638,0.33,0.5288,0.1644,0.204,0.5979,0.0795,0.8013,"AT",3.64604064550614
2011,33,6790,0.1036,0.225,0.0708,0.1891,0.0808,0.2579,0.321,0.7567,0.1975,0.5069,"AT",7.72196381253483
2011,34,1434,0.3299,0.4516,0.1566,0.35,0.2026,0.1513,0.2935,0.5753,0.2005,0.5802,"AT",1.63082416895065
2011,35,689,0.1364,0.3008,0.1661,0.3418,0.1867,0.2606,0.1967,0.9115,0.1968,0.119,"AT",0.783568934732916
2011,41,4920,0.0308,0.0981,0.0165,0.058,0.0252,0.1269,0.1435,0.5854,0.1047,0.85,"AT",5.59529631188091
2011,42,1771,0.1445,0.2414,0.0709,0.155,0.1494,0.2035,0.2166,0.6652,0.0673,0.6719,"AT",2.01407922120754
2011,43,2156,0.0528,0.154,0.0562,0.1192,0.0785,0.1862,0.2102,0.7328,0.1071,0.5552,"AT",2.4519225301657
2011,44,662,0.0474,0.2136,0.1205,0.0865,0.0486,0.2568,0.176,0.8112,0.0393,0.4305,"AT",0.752863040338447
2011,51,5511,0.4341,0.6795,0.2144,0.414,0.2789,0.1549,0.1955,0.6707,0.1295,0.6396,"AT",6.26741422251538
2011,52,7482,0.1028,0.7306,0.0483,0.1163,0.2064,0.1535,0.2129,0.5603,0.0861,0.7403,"AT",8.50894451331157
2011,53,2139,0.3796,0.4316,0.1334,0.1892,0.3894,0.1103,0.064,0.4441,0.0941,0.8738,"AT",2.43258918925066
2011,54,729,0.6856,0.7588,0.5921,0.6486,0.6971,0.3182,0.3223,0.8765,0.0535,0.1605,"AT",0.829059148650647
2011,61,4401,0.6839,0.86,0.1959,0.3624,0.0446,0.1456,0.1589,0.7198,0.6705,0.4281,"AT",5.00506078629835
2011,62,120,0.1538,0.3826,0.0468,0.0957,0,0.0886,0.2317,0.7083,0.1493,0.1917,"AT",0.136470641753193
2011,71,4048,0.0491,0.2119,0.0346,0.098,0.045,0.1564,0.2288,0.9627,0.0743,0.0329,"AT",4.60360964847437
2011,72,4086,0.0822,0.2515,0.1327,0.2358,0.2967,0.1799,0.2168,0.9748,0.0429,0.0321,"AT",4.64682535169622
2011,73,556,0.1341,0.3192,0.1922,0.3061,0.4069,0.2049,0.2248,0.8273,0.1204,0.295,"AT",0.63231397345646
2011,74,1740,0.121,0.2459,0.1075,0.1884,0.1452,0.2249,0.2425,0.9707,0.0701,0.0316,"AT",1.9788243054213
2011,75,1928,0.1193,0.4278,0.1805,0.1886,0.1952,0.1821,0.1988,0.8537,0.0976,0.3662,"AT",2.19262831083463
2011,81,1349,0.1752,0.3444,0.2851,0.3683,0.5205,0.1893,0.1913,0.8933,0.0493,0.3173,"AT",1.53415746437548
2011,82,515,0.1469,0.3417,0.2757,0.3827,0.4853,0.1808,0.0884,0.9262,0.0117,0.3495,"AT",0.585686504190786
2011,83,3264,0.2463,0.4123,0.2937,0.3204,0.3286,0.3143,0.1084,0.9424,0.0459,0.0441,"AT",3.71200145568685
2011,91,3452,0.1858,0.2933,0.0297,0.0805,0.0954,0.0474,0.0266,0.2677,0.0226,0.9406,"AT",3.92580546110018
2011,92,123,0.2469,0.5152,0.0206,0.113,0.0167,0.0784,0.0333,0.5528,0.3476,0.4146,"AT",0.139882407797023
2011,93,2584,0.0761,0.2233,0.1497,0.2277,0.2953,0.1348,0.0867,0.834,0.0244,0.2763,"AT",2.93866781908542
2011,94,736,0.4881,0.611,0.1067,0.257,0.2883,0.1065,0.0209,0.5652,0.0281,0.7636,"AT",0.837019936086249
2011,95,27,0.1698,0.434,0.0741,0.1373,0.04,0.05,0.04,0.3333,0.1923,0.3333,"AT",0.0307058943944684
2011,96,548,0.2923,0.4448,0.2408,0.1775,0.1907,0.1404,0.1059,0.6369,0.0778,0.3029,"AT",0.623215930672914
2012,11,533,0.234,0.454,0.1458,0.4994,0.0485,0.3476,0.8819,0.9193,0.351,0.1388,"AT",0.60036720395589
2012,12,1354,0.1233,0.3365,0.0931,0.3225,0.0305,0.4517,0.798,0.9121,0.2911,0.2777,"AT",1.52513544869845
2012,13,1249,0.1419,0.3157,0.0917,0.3136,0.042,0.4275,0.8985,0.9367,0.3193,0.2378,"AT",1.40686423591165
2012,14,1014,0.5766,0.8088,0.3542,0.6473,0.1059,0.3201,0.8579,0.929,0.4028,0.4004,"AT",1.14216199776974
2012,21,2051,0.1181,0.2559,0.1111,0.2902,0.0351,0.3276,0.4906,0.8854,0.2461,0.2209,"AT",2.31023102310231
2012,22,1529,0.3251,0.4669,0.2842,0.4394,0.4172,0.344,0.4181,0.7404,0.2927,0.5677,"AT",1.72225413667647
2012,23,4194,0.3201,0.4381,0.1313,0.498,0.0364,0.3068,0.1852,0.7029,0.6839,0.7117,"AT",4.72409015645592
2012,24,2059,0.1328,0.275,0.0799,0.286,0.0248,0.3407,0.381,0.8067,0.3326,0.4483,"AT",2.31924216312416
2012,25,1178,0.1443,0.2825,0.1356,0.3289,0.0193,0.3185,0.3065,0.8616,0.4002,0.1121,"AT",1.32689036821771
2012,26,1948,0.2924,0.4216,0.1567,0.4094,0.0845,0.2465,0.3408,0.6879,0.4241,0.5205,"AT",2.19421259532097
2012,31,4437,0.1194,0.2485,0.1128,0.2237,0.1421,0.3008,0.4463,0.9459,0.1121,0.0926,"AT",4.99780353461967
2012,32,3257,0.3764,0.5069,0.2555,0.3181,0.5088,0.1507,0.2034,0.5929,0.0786,0.8001,"AT",3.6686603813965
2012,33,7065,0.1046,0.2147,0.0696,0.1882,0.079,0.2424,0.3066,0.7401,0.1945,0.5417,"AT",7.95796303179806
2012,34,1572,0.3149,0.4508,0.1507,0.3529,0.2511,0.1489,0.2754,0.5471,0.2014,0.5967,"AT",1.77068901429392
2012,35,643,0.1593,0.2734,0.1477,0.2808,0.092,0.2761,0.1982,0.8802,0.2273,0.1104,"AT",0.724270379256356
